employee_id,age,gender,education,department,job_role,years_experience,years_at_company,base_salary,bonus_pct,performance_score,training_hours,overtime_flag,work_life_balance,job_satisfaction,attrition
EMP5000,36,Female,Master's,Product,VP,11,4,55800.0,0.051,4,25.0,1,2,2,0
EMP5001,45,Male,Bachelor's,Finance,Manager,23,22,99800.0,0.032,1,42.0,0,5,4,0
EMP5002,38,Male,Master's,Product,Director,15,14,82100.0,,3,31.0,1,5,5,0
EMP5003,33,Female,Bachelor's,Marketing,Director,7,3,70300.0,0.178,4,50.0,0,3,5,0
EMP5004,33,Female,Bachelor's,Sales,Senior Analyst,10,9,70900.0,0.095,4,78.0,1,4,4,0
EMP5005,44,Male,Master's,Operations,VP,19,6,108900.0,0.122,3,25.0,0,2,5,0
EMP5006,38,Male,Bachelor's,Marketing,VP,14,5,75900.0,0.005,4,21.0,0,2,4,0
EMP5007,27,Male,Bachelor's,Legal,VP,2,2,25900.0,0.001,5,77.0,1,3,2,0
EMP5008,36,Male,Bachelor's,Legal,Manager,11,10,64900.0,0.102,4,6.0,0,3,4,0
EMP5009,39,Male,Bachelor's,Sales,Senior Analyst,15,0,81500.0,0.038,4,67.0,0,5,4,0
EMP5010,45,Male,Bachelor's,Legal,Manager,20,12,100100.0,0.198,3,31.0,1,1,5,0
EMP5011,38,Female,Master's,Marketing,Senior Analyst,14,4,77300.0,0.238,3,77.0,0,4,3,0
EMP5012,29,Female,Bachelor's,Finance,Individual Contributor,6,2,55700.0,0.231,3,61.0,0,5,2,0
EMP5013,43,Male,Bachelor's,Finance,Individual Contributor,18,11,87300.0,0.116,5,11.0,1,1,2,0
EMP5014,53,Male,High School,Operations,VP,30,15,127600.0,0.072,3,41.0,0,4,3,0
EMP5015,36,Female,Bachelor's,Operations,Analyst,14,14,69400.0,0.121,5,21.0,0,3,4,0
EMP5016,46,Female,Bachelor's,Product,Individual Contributor,23,10,112100.0,0.026,3,3.0,0,3,4,0
EMP5017,39,Non-Binary,Bachelor's,Legal,VP,14,14,79800.0,0.236,3,49.0,0,3,2,0
EMP5018,33,Female,Bachelor's,Sales,Analyst,8,6,66700.0,0.168,4,53.0,1,4,3,0
EMP5019,55,Female,Bachelor's,Finance,Analyst,31,20,150900.0,0.072,3,65.0,0,3,3,0
EMP5020,58,Male,Bachelor's,Product,Senior Analyst,34,18,139300.0,0.19,3,58.0,0,1,4,0
EMP5021,28,Male,PhD,Legal,Senior Manager,5,2,47700.0,0.061,3,48.0,0,3,5,0
EMP5022,45,Male,Master's,Finance,Manager,23,14,108900.0,0.188,4,,0,4,5,0
EMP5023,57,Female,Master's,Engineering,Director,34,19,136700.0,0.1,4,49.0,1,4,4,0
EMP5024,42,Male,Bachelor's,Sales,Director,16,1,81800.0,0.216,5,13.0,1,5,3,0
EMP5025,42,Female,Bachelor's,Product,Senior Manager,16,15,98500.0,0.247,2,51.0,0,4,2,1
EMP5026,58,Male,Bachelor's,Operations,Manager,36,32,150900.0,0.08,4,15.0,0,3,4,0
EMP5027,45,Female,Bachelor's,Legal,Senior Manager,19,13,90100.0,0.138,3,46.0,1,2,4,0
EMP5028,54,Female,Master's,Legal,Analyst,29,20,131100.0,0.059,4,32.0,0,3,3,0
EMP5029,25,Female,PhD,Sales,Analyst,3,0,47800.0,0.2,3,67.0,0,3,3,0
EMP5030,44,Male,Bachelor's,Marketing,VP,20,12,97600.0,0.123,5,28.0,0,4,5,0
EMP5031,27,Male,Bachelor's,Operations,Senior Analyst,5,5,48500.0,0.246,4,0.0,0,4,4,0
EMP5032,29,Male,Master's,Engineering,Individual Contributor,4,0,25700.0,0.222,3,8.0,1,3,3,0
EMP5033,49,Male,High School,Marketing,Senior Manager,24,22,118600.0,0.068,3,16.0,1,5,4,0
EMP5034,55,Male,Master's,HR,Senior Manager,32,11,143800.0,0.03,3,68.0,0,4,4,0
EMP5035,56,Female,Master's,Product,VP,31,6,145600.0,0.155,2,60.0,1,4,2,1
EMP5036,51,Female,Master's,HR,Senior Analyst,28,26,113100.0,0.08,4,73.0,1,3,5,0
EMP5037,41,Male,Bachelor's,HR,Senior Manager,17,11,87100.0,0.063,4,58.0,0,4,2,0
EMP5038,38,Male,Bachelor's,Product,Senior Manager,16,13,93700.0,0.136,2,11.0,1,5,3,0
EMP5039,28,Male,Master's,Marketing,Senior Manager,2,2,32500.0,0.135,2,3.0,0,2,4,0
EMP5040,51,Female,Bachelor's,Product,Individual Contributor,29,0,131900.0,0.134,3,44.0,0,3,3,0
EMP5041,52,Male,Master's,Marketing,Individual Contributor,26,5,117700.0,0.074,3,42.0,1,4,4,0
EMP5042,26,Female,Bachelor's,Sales,Manager,0,0,26900.0,0.039,3,34.0,1,5,5,1
EMP5043,56,Male,Bachelor's,Sales,Manager,34,8,158300.0,0.046,2,47.0,0,4,3,0
EMP5044,34,Male,Bachelor's,Sales,Senior Analyst,12,12,60600.0,0.18,2,32.0,0,3,2,0
EMP5045,47,Female,Master's,Legal,Manager,25,13,117100.0,0.117,3,18.0,0,4,2,0
EMP5046,26,Male,Bachelor's,Engineering,Senior Manager,0,0,32000.0,0.117,4,46.0,1,4,1,0
EMP5047,28,Female,Bachelor's,Operations,Analyst,6,1,58500.0,0.244,4,31.0,0,1,4,0
EMP5048,45,Male,Bachelor's,Finance,Senior Analyst,20,14,99000.0,0.229,3,36.0,0,4,3,0
EMP5049,37,Female,Master's,Marketing,VP,11,4,76300.0,0.016,3,66.0,1,4,3,0
EMP5050,23,Female,Master's,Legal,VP,0,0,29600.0,0.199,4,36.0,1,3,4,0
EMP5051,57,Male,High School,Product,Analyst,33,19,146500.0,0.062,3,75.0,0,3,4,0
EMP5052,55,Female,Bachelor's,HR,Individual Contributor,33,32,146200.0,0.181,5,11.0,1,4,5,0
EMP5053,29,Female,Master's,Product,Analyst,3,1,45700.0,0.043,4,52.0,0,2,3,0
EMP5054,46,Male,Master's,Product,Senior Analyst,21,20,107800.0,0.036,4,56.0,1,3,4,0
EMP5055,28,Female,Bachelor's,Legal,Analyst,3,2,31600.0,0.235,3,7.0,0,4,3,0
EMP5056,49,Male,Bachelor's,Engineering,Senior Analyst,26,0,122700.0,,3,46.0,1,3,5,0
EMP5057,48,Female,Master's,Sales,Senior Analyst,23,9,114800.0,0.087,3,57.0,1,2,5,0
EMP5058,50,Female,Master's,Engineering,Individual Contributor,25,22,129200.0,0.223,2,4.0,1,5,4,0
EMP5059,42,Male,Bachelor's,Product,Senior Manager,20,17,91900.0,0.072,4,65.0,0,4,4,0
EMP5060,22,Female,Bachelor's,Product,Senior Analyst,0,0,34300.0,0.016,5,30.0,1,3,4,0
EMP5061,29,Female,Master's,HR,Analyst,7,5,51700.0,0.099,5,51.0,0,2,4,0
EMP5062,59,Male,Bachelor's,Marketing,Senior Analyst,34,24,150500.0,0.177,3,,0,1,3,0
EMP5063,45,Male,Master's,Marketing,Manager,19,17,87900.0,0.166,5,11.0,1,4,4,0
EMP5064,35,Male,Master's,Finance,Senior Manager,9,1,61400.0,0.118,4,31.0,1,3,5,0
EMP5065,57,Female,Bachelor's,Product,Senior Manager,33,15,148100.0,0.128,3,12.0,0,3,4,0
EMP5066,38,Male,Bachelor's,Product,Senior Analyst,12,4,64200.0,0.132,5,9.0,0,5,3,0
EMP5067,54,Male,Bachelor's,Sales,Analyst,28,28,139600.0,0.094,5,45.0,0,4,4,0
EMP5068,52,Male,Master's,Marketing,Senior Manager,28,22,115600.0,0.021,4,48.0,0,4,4,0
EMP5069,22,Male,Master's,Sales,Analyst,0,0,34300.0,0.039,4,74.0,0,4,2,0
EMP5070,57,Male,PhD,Engineering,Individual Contributor,35,26,133100.0,0.181,4,46.0,1,5,4,0
EMP5071,55,Male,Master's,Legal,Manager,30,2,133000.0,0.203,4,43.0,0,3,2,0
EMP5072,59,Male,Master's,Legal,Director,36,28,159800.0,0.099,3,47.0,0,2,4,0
EMP5073,45,Male,Master's,Engineering,Director,21,18,109200.0,0.082,2,79.0,0,1,2,0
EMP5074,48,Female,Bachelor's,Marketing,Analyst,22,9,106200.0,0.152,5,29.0,0,1,3,0
EMP5075,32,Female,Master's,Sales,Director,10,9,63100.0,0.005,2,54.0,0,5,5,0
EMP5076,27,Female,Bachelor's,Marketing,Director,4,1,48500.0,0.142,2,57.0,1,4,1,0
EMP5077,25,Male,Master's,HR,Analyst,1,1,41100.0,0.117,3,13.0,0,1,3,0
EMP5078,28,Non-Binary,Bachelor's,Marketing,Director,3,0,51500.0,0.11,3,67.0,0,2,3,0
EMP5079,58,Male,Bachelor's,Operations,Analyst,32,16,131700.0,0.0,3,33.0,0,4,4,0
EMP5080,32,Female,Bachelor's,Engineering,Senior Manager,6,0,49400.0,0.236,2,33.0,1,3,5,0
EMP5081,23,Female,Bachelor's,Finance,Senior Analyst,0,0,25000.0,0.043,5,17.0,0,4,4,0
EMP5082,48,Male,Master's,HR,Manager,24,2,103100.0,0.028,4,34.0,0,5,5,0
EMP5083,29,Male,Master's,Finance,Individual Contributor,5,5,41900.0,0.096,5,46.0,1,4,2,0
EMP5084,41,Female,Master's,Product,Individual Contributor,19,14,103400.0,,5,71.0,0,3,3,0
EMP5085,47,Female,Bachelor's,Product,Individual Contributor,22,13,103200.0,0.191,3,25.0,0,4,5,0
EMP5086,43,Non-Binary,Master's,Operations,Individual Contributor,17,7,87200.0,0.128,3,48.0,1,4,1,0
EMP5087,50,Female,Bachelor's,Legal,Senior Manager,25,14,119900.0,0.137,3,69.0,0,5,3,0
EMP5088,22,Female,Bachelor's,Finance,Individual Contributor,0,0,25000.0,0.114,5,40.0,1,3,3,0
EMP5089,32,Female,PhD,Operations,Individual Contributor,6,4,35000.0,0.006,4,15.0,0,4,5,0
EMP5090,37,Male,Bachelor's,Finance,Senior Analyst,14,5,73000.0,0.069,4,58.0,0,4,3,0
EMP5091,50,Female,Master's,HR,Analyst,26,8,120000.0,0.097,5,45.0,0,4,5,0
EMP5092,42,Female,Bachelor's,Legal,Manager,19,14,100200.0,0.139,3,24.0,0,3,4,0
EMP5093,51,Male,Master's,Legal,Director,27,15,122800.0,0.165,5,68.0,0,1,3,0
EMP5094,50,Female,Master's,HR,Analyst,24,10,117600.0,0.247,4,2.0,0,4,2,0
